variante,agente,capas,ticker,fecha_entrada,fecha_salida,precio_entrada,precio_salida,retorno,motivo_salida,score_entrada,criterio_pe_historico,criterio_pe_proyectado,criterio_deuda_capital,criterio_crecimiento_eps,criterio_peg,criterio_market_cap
Small · solo Lynch,Small,lynch,VIAV,2024-04-30,2024-05-31,7.900000095367432,7.519999980926514,-0.04905294047389819,senal,4,0,0,1,1,1,1
Small · solo Lynch,Small,lynch,CCOI,2024-04-30,2024-05-31,64.18000030517578,59.220001220703125,-0.06292930357198478,senal,4,1,1,0,1,1,0
Small · solo Lynch,Small,lynch,ACMR,2024-04-30,2024-05-31,25.520000457763672,21.600000381469727,-0.1544511992936195,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,STRL,2024-04-30,2024-05-31,101.5999984741211,122.87000274658203,0.20814139079540972,senal,4,0,1,1,1,1,0
Small · solo Lynch,Small,lynch,MGRC,2024-04-30,2024-05-31,106.66000366210938,108.9800033569336,0.020729783160597925,senal,5,1,1,1,1,1,0
Small · solo Lynch,Small,lynch,AMSF,2024-04-30,2024-05-31,45.599998474121094,43.83000183105469,-0.03977655909767275,senal,4,1,1,0,0,1,1
Small · solo Lynch,Small,lynch,SDGR,2024-04-30,2024-05-31,24.3799991607666,21.520000457763672,-0.11819169083884296,senal,4,0,0,1,1,1,1
Small · solo Lynch,Small,lynch,EFSC,2024-04-30,2024-05-31,38.0099983215332,38.689998626708984,0.01687231692160074,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,HBT,2024-04-30,2024-05-31,18.454999923706055,19.5,0.06611796599469977,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,LKFN,2024-04-30,2024-05-31,58.77000045776367,62.029998779296875,0.05441517078141578,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,RNST,2024-04-30,2024-05-31,29.059999465942383,30.1200008392334,0.03543997815239974,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,WAFD,2024-04-30,2024-05-31,27.09000015258789,28.010000228881836,0.04236354395053099,senal,4,1,1,0,0,1,1
Small · solo Lynch,Small,lynch,CCBG,2024-04-30,2024-05-31,26.520000457763672,27.15999984741211,0.023108954039929852,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,CHCO,2024-04-30,2024-05-31,101.0199966430664,102.22000122070312,0.010867423249779629,senal,5,1,1,1,0,1,1
Small · solo Lynch,Small,lynch,NWBI,2024-04-30,2024-05-31,10.600000381469727,10.949999809265137,0.05183180225962447,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,TOWN,2024-04-30,2024-05-31,25.8700008392334,27.190000534057617,0.04997354028055723,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,DIN,2024-04-30,2024-05-31,44.099998474121094,39.45000076293945,-0.10633648870450196,senal,5,1,1,0,1,1,1
Small · solo Lynch,Small,lynch,JACK,2024-04-30,2024-05-31,57.06999969482422,55.36000061035156,-0.030932940028535194,senal,4,1,1,0,0,1,1
Small · solo Lynch,Small,lynch,WGO,2024-04-30,2024-05-31,61.58000183105469,62.04999923706055,0.006624832428068883,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,RES,2024-04-30,2024-05-31,6.690000057220459,6.829999923706055,0.025985923995164972,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,KOP,2024-04-30,2024-05-31,51.279998779296875,44.33000183105469,-0.1350173770351848,senal,5,1,1,0,1,1,1
Small · solo Lynch,Small,lynch,PRLB,2024-04-30,2024-05-31,30.479999542236328,30.969999313354492,0.015060286128566247,senal,4,0,0,1,1,1,1
Small · solo Lynch,Small,lynch,MGPI,2024-04-30,2024-05-31,78.44000244140625,77.62000274658203,-0.009963892237470184,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,NATR,2024-04-30,2024-05-31,19.450000762939453,15.319999694824219,-0.2131268419129695,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,OSUR,2024-04-30,2024-05-31,5.289999961853027,4.730000019073486,-0.10675401972985854,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,ASTE,2024-04-30,2024-05-31,41.79999923706055,32.4900016784668,-0.2206002095255687,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,EIG,2024-04-30,2024-05-31,42.59000015258789,42.18000030517578,-0.0036673493285401815,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,HASI,2024-04-30,2024-05-31,25.010000228881836,33.290000915527344,0.32973700527035477,senal,4,1,1,0,1,1,0
Small · solo Lynch,Small,lynch,HOPE,2024-04-30,2024-05-31,10.020000457763672,10.529999732971191,0.06372650154561454,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,HRTG,2024-04-30,2024-05-31,10.210000038146973,8.5,-0.16831517205937874,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,FSBC,2024-04-30,2024-05-31,21.6200008392334,22.920000076293945,0.06870625298224109,senal,5,1,1,1,0,1,1
Small · solo Lynch,Small,lynch,ROCK,2024-04-30,2024-06-28,71.45999908447266,68.55000305175781,-0.041681065441169673,senal,5,1,1,1,1,1,0
Small · solo Lynch,Small,lynch,LYTS,2024-04-30,2024-06-28,14.600000381469727,14.470000267028809,-0.006565800019413981,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,PCRX,2024-04-30,2024-06-28,26.25,28.610000610351562,0.08881515284729025,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,NBTB,2024-04-30,2024-06-28,35.0099983215332,38.599998474121094,0.11100192415385268,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,GSHD,2024-04-30,2024-06-28,56.90999984741211,57.439998626708984,0.008303866426655704,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,MTUS,2024-04-30,2024-06-28,20.559999465942383,20.270000457763672,-0.015090659007570006,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,OLLI,2024-04-30,2024-06-28,73.13999938964844,98.16999816894531,0.34087850056990976,senal,4,0,1,1,1,1,0
Small · solo Lynch,Small,lynch,CNMD,2024-04-30,2024-06-28,67.9800033569336,69.31999969482422,0.021496905398493027,senal,4,0,1,1,1,1,0
Small · solo Lynch,Small,lynch,LBRT,2024-04-30,2024-06-28,22,20.889999389648438,-0.0484890692683827,senal,5,1,1,1,1,1,0
Small · solo Lynch,Small,lynch,VIAV,2024-05-31,2024-06-28,7.519999980926514,6.869999885559082,-0.08734951853977113,senal,4,0,0,1,1,1,1
Small · solo Lynch,Small,lynch,ACMR,2024-05-31,2024-06-28,21.600000381469727,23.059999465942383,0.06652522336246403,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,SDGR,2024-05-31,2024-06-28,21.520000457763672,19.34000015258789,-0.10219960146584861,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,JACK,2024-05-31,2024-06-28,55.36000061035156,50.939998626708984,-0.0736601532338782,senal,4,1,1,0,0,1,1
Small · solo Lynch,Small,lynch,RES,2024-05-31,2024-06-28,6.829999923706055,6.25,-0.08583442035730171,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,KOP,2024-05-31,2024-06-28,44.33000183105469,36.9900016784668,-0.1664105334903262,senal,5,1,1,0,1,1,1
Small · solo Lynch,Small,lynch,PRLB,2024-05-31,2024-06-28,30.969999313354492,30.889999389648438,-0.0035803100760172235,senal,4,0,0,1,1,1,1
Small · solo Lynch,Small,lynch,MGPI,2024-05-31,2024-06-28,77.62000274658203,74.4000015258789,-0.04244231293163603,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,OSUR,2024-05-31,2024-06-28,4.730000019073486,4.260000228881836,-0.10026611490656445,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,ASTE,2024-05-31,2024-06-28,32.4900016784668,29.65999984741211,-0.08801649694993352,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,HRTG,2024-05-31,2024-06-28,8.5,7.079999923706055,-0.16789156543737294,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,ARIS,2024-04-30,2024-07-31,4.03000020980835,4.489999771118164,0.11302994052705073,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,HALO,2024-04-30,2024-07-31,38.099998474121094,55.2599983215332,0.44894368370403837,senal,5,1,1,1,1,1,0
Small · solo Lynch,Small,lynch,SND,2024-04-30,2024-07-31,2.0899999141693115,2.0799999237060547,-0.005779698094266483,senal,5,1,1,1,1,1,0
Small · solo Lynch,Small,lynch,LOVE,2024-04-30,2024-07-31,22.18000030517578,27.360000610351562,0.23231050828088584,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,BL,2024-05-31,2024-07-31,47.720001220703125,47.52000045776367,-0.005186690634234825,senal,4,0,1,1,1,1,0
Small · solo Lynch,Small,lynch,ACMR,2024-06-28,2024-07-31,23.059999465942383,17.950000762939453,-0.22237399544779712,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,PCRX,2024-06-28,2024-07-31,28.610000610351562,20.649999618530273,-0.2789460209257173,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,WGO,2024-06-28,2024-07-31,54.20000076293945,62.52000045776367,0.1523522002024389,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,LMAT,2024-04-30,2024-08-30,64.80000305175781,90.29000091552734,0.39755623405208484,senal,4,0,0,1,1,1,1
Small · solo Lynch,Small,lynch,REX,2024-04-30,2024-08-30,27.665000915527344,22.674999237060547,-0.18119178901384458,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,VITL,2024-04-30,2024-08-30,26.760000228881836,31.450000762939453,0.1740866351251722,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,IMXI,2024-04-30,2024-08-30,20.229999542236328,18.149999618530273,-0.10371455429072829,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,DIN,2024-05-31,2024-08-30,39.45000076293945,31.6200008392334,-0.18826422294092515,senal,5,1,1,0,1,1,1
Small · solo Lynch,Small,lynch,NATR,2024-05-31,2024-08-30,15.319999694824219,13.800000190734863,-0.10011723791340721,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,JELD,2024-05-31,2024-08-30,15.510000228881836,14.239999771118164,-0.08280057244250794,senal,4,0,1,0,1,1,1
Small · solo Lynch,Small,lynch,JACK,2024-06-28,2024-08-30,50.939998626708984,49.36000061035156,-0.023419049705557082,senal,4,1,1,0,0,1,1
Small · solo Lynch,Small,lynch,MTUS,2024-06-28,2024-08-30,20.270000457763672,16.260000228881836,-0.19863128136085217,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,MGPI,2024-06-28,2024-08-30,74.4000015258789,89.58999633789062,0.2046045142116364,senal,4,1,1,1,0,0,1
Small · solo Lynch,Small,lynch,LBRT,2024-06-28,2024-08-30,20.889999389648438,20.59000015258789,-0.015346204630112381,senal,5,1,1,1,1,1,0
Small · solo Lynch,Small,lynch,ACMR,2024-07-31,2024-08-30,17.950000762939453,18.040000915527344,0.004009173181829473,senal,6,1,1,1,1,1,1
Small · solo Lynch,Small,lynch,PCRX,2024-07-31,2024-08-30,20.649999618530273,15.5600004196167,-0.2472423924285022,senal,5,0,1,1,1,1,1
Small · solo Lynch,Small,lynch,KRUS,2024-07-31,2024-08-30,57.4900016784668,65.98999786376953,0.14670416487563687,senal,4,0,0,1,1,1,1
