variante,agente,capas,ticker,fecha_entrada,fecha_salida,precio_entrada,precio_salida,retorno,motivo_salida,score_entrada,criterio_pe_historico,criterio_pe_proyectado,criterio_deuda_capital,criterio_crecimiento_eps,criterio_peg,criterio_market_cap
Small · cascada,Small,lynch+tecnico,STRL,2024-04-30,2024-05-31,101.5999984741211,122.87000274658203,0.20814139079540972,senal,4,0,1,1,1,1,0
Small · cascada,Small,lynch+tecnico,NATR,2024-04-30,2024-05-31,19.450000762939453,15.319999694824219,-0.2131268419129695,senal,5,0,1,1,1,1,1
Small · cascada,Small,lynch+tecnico,LYTS,2024-04-30,2024-06-28,14.600000381469727,14.470000267028809,-0.006565800019413981,senal,6,1,1,1,1,1,1
Small · cascada,Small,lynch+tecnico,NBTB,2024-04-30,2024-06-28,35.0099983215332,38.599998474121094,0.11100192415385268,senal,4,1,1,1,0,0,1
Small · cascada,Small,lynch+tecnico,MTUS,2024-05-31,2024-06-28,24.010000228881836,20.270000457763672,-0.15661243932653346,senal,4,1,1,1,0,0,1
Small · cascada,Small,lynch+tecnico,LBRT,2024-05-31,2024-06-28,24.690000534057617,20.889999389648438,-0.1521571382972945,senal,5,1,1,1,1,1,0
Small · cascada,Small,lynch+tecnico,ARIS,2024-04-30,2024-07-31,4.03000020980835,4.489999771118164,0.11302994052705073,senal,5,0,1,1,1,1,1
Small · cascada,Small,lynch+tecnico,SND,2024-04-30,2024-07-31,2.0899999141693115,2.0799999237060547,-0.005779698094266483,senal,5,1,1,1,1,1,0
Small · cascada,Small,lynch+tecnico,LMAT,2024-06-28,2024-08-30,82.27999877929688,90.29000091552734,0.09839523765592251,senal,4,0,0,1,1,1,1
Small · cascada,Small,lynch+tecnico,VITL,2024-06-28,2024-08-30,46.77000045776367,31.450000762939453,-0.3282326637338887,senal,5,0,1,1,1,1,1
Small · cascada,Small,lynch+tecnico,IBOC,2024-04-30,2024-09-30,55.650001525878906,59.790000915527344,0.08548903896479776,senal,5,1,1,1,1,1,0
Small · cascada,Small,lynch+tecnico,PFBC,2024-04-30,2024-09-30,75.69000244140625,80.25,0.06920767960285112,senal,6,1,1,1,1,1,1
