Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;7965,00;8066,75;22/10/2015 9:40:00;22/10/2015 16:00:00;IBS_Long;CierreContado;$2029,24;$2029,24;$5,76;$0,00;$0,00;$0,00;$0,00;$40,00;$2080,00;$50,76;74;
2;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8112,25;8092,25;12/11/2015 9:40:00;12/11/2015 16:00:00;IBS_Long;CierreContado;$-405,76;$1623,48;$5,76;$0,00;$0,00;$0,00;$0,00;$425,00;$570,00;$975,76;77;
3;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8076,50;8006,75;13/11/2015 9:40:00;13/11/2015 16:00:00;IBS_Long;CierreContado;$-1400,76;$222,72;$5,76;$0,00;$0,00;$0,00;$0,00;$1395,00;$35,00;$1435,76;77;
4;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8002,00;8060,25;16/11/2015 9:40:00;16/11/2015 16:00:00;IBS_Long;CierreContado;$1159,24;$1381,96;$5,76;$0,00;$0,00;$0,00;$0,00;$210,00;$1295,00;$135,76;77;
5;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8054,75;8077,25;14/12/2015 9:40:00;14/12/2015 16:00:00;IBS_Long;CierreContado;$444,24;$1826,20;$5,76;$0,00;$0,00;$0,00;$0,00;$1375,00;$465,00;$20,76;77;
6;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8090,00;8031,00;18/12/2015 9:40:00;18/12/2015 16:00:00;IBS_Long;CierreContado;$-1185,76;$640,44;$5,76;$0,00;$0,00;$0,00;$0,00;$1280,00;$230,00;$1415,76;77;
7;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8060,75;8061,00;21/12/2015 9:40:00;21/12/2015 16:00:00;IBS_Long;CierreContado;$-0,76;$639,68;$5,76;$0,00;$0,00;$0,00;$0,00;$685,00;$85,00;$85,76;77;
8;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8117,00;8126,25;28/12/2015 9:40:00;28/12/2015 16:00:00;IBS_Long;CierreContado;$179,24;$818,92;$5,76;$0,00;$0,00;$0,00;$0,00;$615,00;$205,00;$25,76;77;
9;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8138,50;8111,50;31/12/2015 9:40:00;31/12/2015 16:00:00;IBS_Long;CierreContado;$-545,76;$273,16;$5,76;$0,00;$0,00;$0,00;$0,00;$600,00;$250,00;$795,76;77;
10;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8009,00;7997,50;5/4/2016 9:40:00;5/4/2016 16:00:00;IBS_Long;CierreContado;$-235,76;$37,40;$5,76;$0,00;$0,00;$0,00;$0,00;$600,00;$0,00;$235,76;74;
11;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;7963,25;8010,25;12/4/2016 9:40:00;12/4/2016 16:00:00;IBS_Long;CierreContado;$934,24;$971,64;$5,76;$0,00;$0,00;$0,00;$0,00;$90,00;$1135,00;$200,76;74;
12;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;7978,00;7988,50;22/4/2016 9:40:00;22/4/2016 16:00:00;IBS_Long;CierreContado;$204,24;$1175,88;$5,76;$0,00;$0,00;$0,00;$0,00;$490,00;$315,00;$110,76;74;
13;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8036,75;8040,75;8/6/2016 9:40:00;8/6/2016 16:00:00;IBS_Long;CierreContado;$74,24;$1250,12;$5,76;$0,00;$0,00;$0,00;$0,00;$165,00;$270,00;$195,76;74;
14;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;7941,75;7945,50;14/6/2016 9:40:00;14/6/2016 16:00:00;IBS_Long;CierreContado;$69,24;$1319,36;$5,76;$0,00;$0,00;$0,00;$0,00;$540,00;$210,00;$140,76;74;
15;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;7955,25;8003,25;23/6/2016 9:40:00;23/6/2016 16:00:00;IBS_Long;CierreContado;$954,24;$2273,60;$5,76;$0,00;$0,00;$0,00;$0,00;$80,00;$975,00;$20,76;74;
16;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8126,00;8120,75;14/7/2016 9:40:00;14/7/2016 16:00:00;IBS_Long;CierreContado;$-110,76;$2162,84;$5,76;$0,00;$0,00;$0,00;$0,00;$335,00;$75,00;$185,76;74;
17;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8317,75;8339,50;17/8/2016 9:40:00;17/8/2016 16:00:00;IBS_Long;CierreContado;$429,24;$2592,08;$5,76;$0,00;$0,00;$0,00;$0,00;$300,00;$445,00;$15,76;74;
18;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8296,75;8203,75;9/9/2016 9:40:00;9/9/2016 16:00:00;IBS_Long;CierreContado;$-1865,76;$726,32;$5,76;$0,00;$0,00;$0,00;$0,00;$1955,00;$15,00;$1880,76;74;
19;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8246,25;8295,75;12/9/2016 9:40:00;12/9/2016 16:00:00;IBS_Long;CierreContado;$984,24;$1710,56;$5,76;$0,00;$0,00;$0,00;$0,00;$205,00;$1145,00;$160,76;74;
20;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8374,00;8395,00;27/9/2016 9:40:00;27/9/2016 16:00:00;IBS_Long;CierreContado;$414,24;$2124,80;$5,76;$0,00;$0,00;$0,00;$0,00;$170,00;$505,00;$90,76;74;
21;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8306,25;8330,00;13/10/2016 9:40:00;13/10/2016 16:00:00;IBS_Long;CierreContado;$469,24;$2594,04;$5,76;$0,00;$0,00;$0,00;$0,00;$220,00;$790,00;$320,76;74;
22;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8391,50;8388,25;26/10/2016 9:40:00;26/10/2016 16:00:00;IBS_Long;CierreContado;$-70,76;$2523,28;$5,76;$0,00;$0,00;$0,00;$0,00;$345,00;$500,00;$570,76;74;
23;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8255,00;8205,25;3/11/2016 9:40:00;3/11/2016 16:00:00;IBS_Long;CierreContado;$-1000,76;$1522,52;$5,76;$0,00;$0,00;$0,00;$0,00;$1040,00;$30,00;$1030,76;74;
24;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8217,25;8195,25;4/11/2016 9:40:00;4/11/2016 16:00:00;IBS_Long;CierreContado;$-445,76;$1076,76;$5,76;$0,00;$0,00;$0,00;$0,00;$550,00;$260,00;$705,76;74;
25;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8264,75;8302,50;15/11/2016 9:40:00;15/11/2016 16:00:00;IBS_Long;CierreContado;$749,24;$1826,00;$5,76;$0,00;$0,00;$0,00;$0,00;$15,00;$985,00;$235,76;77;
26;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8359,50;8394,25;21/11/2016 9:40:00;21/11/2016 16:00:00;IBS_Long;CierreContado;$689,24;$2515,24;$5,76;$0,00;$0,00;$0,00;$0,00;$40,00;$745,00;$55,76;77;
27;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8335,00;8265,25;1/12/2016 9:40:00;1/12/2016 16:00:00;IBS_Long;CierreContado;$-1400,76;$1114,48;$5,76;$0,00;$0,00;$0,00;$0,00;$1550,00;$10,00;$1410,76;77;
28;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8276,00;8271,75;2/12/2016 9:40:00;2/12/2016 16:00:00;IBS_Long;CierreContado;$-90,76;$1023,72;$5,76;$0,00;$0,00;$0,00;$0,00;$425,00;$355,00;$445,76;77;
29;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8465,25;8451,75;29/12/2016 9:40:00;29/12/2016 16:00:00;IBS_Long;CierreContado;$-275,76;$747,96;$5,76;$0,00;$0,00;$0,00;$0,00;$550,00;$95,00;$370,76;77;
30;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8438,25;8440,50;3/1/2017 9:40:00;3/1/2017 16:00:00;IBS_Long;CierreContado;$39,24;$787,20;$5,76;$0,00;$0,00;$0,00;$0,00;$415,00;$515,00;$475,76;77;
31;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8957,00;8948,75;20/3/2017 9:40:00;20/3/2017 16:00:00;IBS_Long;CierreContado;$-170,76;$616,44;$5,76;$0,00;$0,00;$0,00;$0,00;$455,00;$55,00;$225,76;74;
32;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8869,50;8897,00;22/3/2017 9:40:00;22/3/2017 16:00:00;IBS_Long;CierreContado;$544,24;$1160,68;$5,76;$0,00;$0,00;$0,00;$0,00;$30,00;$790,00;$245,76;75;
33;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8960,75;8956,50;6/4/2017 9:40:00;6/4/2017 16:00:00;IBS_Long;CierreContado;$-90,76;$1069,92;$5,76;$0,00;$0,00;$0,00;$0,00;$405,00;$185,00;$275,76;75;
34;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;8924,75;8889,75;13/4/2017 9:40:00;13/4/2017 16:00:00;IBS_Long;CierreContado;$-705,76;$364,16;$5,76;$0,00;$0,00;$0,00;$0,00;$890,00;$150,00;$855,76;74;
35;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9096,00;9120,50;27/4/2017 9:40:00;27/4/2017 16:00:00;IBS_Long;CierreContado;$484,24;$848,40;$5,76;$0,00;$0,00;$0,00;$0,00;$185,00;$715,00;$230,76;75;
36;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9166,75;9164,50;18/5/2017 9:40:00;18/5/2017 16:00:00;IBS_Long;CierreContado;$-50,76;$797,64;$5,76;$0,00;$0,00;$0,00;$0,00;$655,00;$290,00;$340,76;75;
37;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9283,75;9317,75;21/6/2017 9:40:00;21/6/2017 16:00:00;IBS_Long;CierreContado;$674,24;$1471,88;$5,76;$0,00;$0,00;$0,00;$0,00;$155,00;$735,00;$60,76;74;
38;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9279,00;9199,00;27/6/2017 9:40:00;27/6/2017 16:00:00;IBS_Long;CierreContado;$-1605,76;$-133,88;$5,76;$0,00;$0,00;$0,00;$0,00;$1720,00;$200,00;$1805,76;74;
39;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9230,00;9289,75;28/6/2017 9:40:00;28/6/2017 16:00:00;IBS_Long;CierreContado;$1189,24;$1055,36;$5,76;$0,00;$0,00;$0,00;$0,00;$120,00;$1220,00;$30,76;74;
40;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9130,25;9104,25;4/7/2017 9:40:00;4/7/2017 12:00:00;IBS_Long;Exit on session close;$-525,76;$529,60;$5,76;$0,00;$0,00;$0,00;$0,00;$920,00;$0,00;$525,76;29;
41;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9410,00;9451,25;1/8/2017 9:40:00;1/8/2017 16:00:00;IBS_Long;CierreContado;$819,24;$1348,84;$5,76;$0,00;$0,00;$0,00;$0,00;$75,00;$845,00;$25,76;74;
42;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9423,00;9447,75;9/8/2017 9:40:00;9/8/2017 16:00:00;IBS_Long;CierreContado;$489,24;$1838,08;$5,76;$0,00;$0,00;$0,00;$0,00;$250,00;$510,00;$20,76;74;
43;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9348,75;9361,25;11/8/2017 9:40:00;11/8/2017 16:00:00;IBS_Long;CierreContado;$244,24;$2082,32;$5,76;$0,00;$0,00;$0,00;$0,00;$355,00;$420,00;$175,76;74;
44;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9321,50;9321,25;18/8/2017 9:40:00;18/8/2017 16:00:00;IBS_Long;CierreContado;$-10,76;$2071,56;$5,76;$0,00;$0,00;$0,00;$0,00;$230,00;$750,00;$760,76;74;
45;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9372,00;9369,50;24/8/2017 9:40:00;24/8/2017 16:00:00;IBS_Long;CierreContado;$-55,76;$2015,80;$5,76;$0,00;$0,00;$0,00;$0,00;$895,00;$90,00;$145,76;74;
46;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9361,00;9370,50;28/8/2017 9:40:00;28/8/2017 16:00:00;IBS_Long;CierreContado;$184,24;$2200,04;$5,76;$0,00;$0,00;$0,00;$0,00;$160,00;$380,00;$195,76;74;
47;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9508,25;9510,75;11/9/2017 9:40:00;11/9/2017 16:00:00;IBS_Long;CierreContado;$44,24;$2244,28;$5,76;$0,00;$0,00;$0,00;$0,00;$415,00;$95,00;$50,76;74;
48;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9502,00;9513,75;15/9/2017 9:40:00;15/9/2017 16:00:00;IBS_Long;CierreContado;$229,24;$2473,52;$5,76;$0,00;$0,00;$0,00;$0,00;$25,00;$610,00;$380,76;74;
49;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9594,75;9591,75;24/10/2017 9:40:00;24/10/2017 16:00:00;IBS_Long;CierreContado;$-65,76;$2407,76;$5,76;$0,00;$0,00;$0,00;$0,00;$110,00;$290,00;$355,76;74;
50;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9839,25;9828,25;20/11/2017 9:40:00;20/11/2017 16:00:00;IBS_Long;CierreContado;$-225,76;$2182,00;$5,76;$0,00;$0,00;$0,00;$0,00;$350,00;$135,00;$360,76;77;
51;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9865,25;9888,25;30/11/2017 9:40:00;30/11/2017 16:00:00;IBS_Long;CierreContado;$454,24;$2636,24;$5,76;$0,00;$0,00;$0,00;$0,00;$485,00;$580,00;$125,76;77;
52;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9791,75;9783,50;5/12/2017 9:40:00;5/12/2017 16:00:00;IBS_Long;CierreContado;$-170,76;$2465,48;$5,76;$0,00;$0,00;$0,00;$0,00;$250,00;$1295,00;$1465,76;77;
53;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9928,50;9976,75;15/12/2017 9:40:00;15/12/2017 16:00:00;IBS_Long;CierreContado;$959,24;$3424,72;$5,76;$0,00;$0,00;$0,00;$0,00;$145,00;$1200,00;$240,76;77;
54;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9945,00;9907,50;29/12/2017 9:40:00;29/12/2017 16:00:00;IBS_Long;CierreContado;$-755,76;$2668,96;$5,76;$0,00;$0,00;$0,00;$0,00;$775,00;$50,00;$805,76;77;
55;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10437,50;10444,00;30/1/2018 9:40:00;30/1/2018 16:00:00;IBS_Long;CierreContado;$124,24;$2793,20;$5,76;$0,00;$0,00;$0,00;$0,00;$740,00;$590,00;$465,76;77;
56;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10383,00;10269,25;2/2/2018 9:40:00;2/2/2018 16:00:00;IBS_Long;CierreContado;$-2280,76;$512,44;$5,76;$0,00;$0,00;$0,00;$0,00;$2295,00;$210,00;$2490,76;77;
57;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10215,75;10010,00;5/2/2018 9:40:00;5/2/2018 16:00:00;IBS_Long;CierreContado;$-4120,76;$-3608,32;$5,76;$0,00;$0,00;$0,00;$0,00;$4380,00;$1910,00;$6030,76;77;
58;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9974,00;10144,50;6/2/2018 9:40:00;6/2/2018 16:00:00;IBS_Long;CierreContado;$3404,24;$-204,08;$5,76;$0,00;$0,00;$0,00;$0,00;$1075,00;$4000,00;$595,76;77;
59;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10084,00;9854,00;8/2/2018 9:40:00;8/2/2018 16:00:00;IBS_Long;CierreContado;$-4605,76;$-4809,84;$5,76;$0,00;$0,00;$0,00;$0,00;$4875,00;$225,00;$4830,76;77;
60;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9898,75;9928,75;9/2/2018 9:40:00;9/2/2018 16:00:00;IBS_Long;CierreContado;$594,24;$-4215,60;$5,76;$0,00;$0,00;$0,00;$0,00;$4740,00;$1090,00;$495,76;77;
61;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10311,00;10263,75;22/2/2018 9:40:00;22/2/2018 16:00:00;IBS_Long;CierreContado;$-950,76;$-5166,36;$5,76;$0,00;$0,00;$0,00;$0,00;$1325,00;$365,00;$1315,76;77;
62;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10438,25;10363,25;28/2/2018 9:40:00;28/2/2018 16:00:00;IBS_Long;CierreContado;$-1505,76;$-6672,12;$5,76;$0,00;$0,00;$0,00;$0,00;$1500,00;$600,00;$2105,76;77;
63;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10376,00;10261,75;1/3/2018 9:40:00;1/3/2018 16:00:00;IBS_Long;CierreContado;$-2290,76;$-8962,88;$5,76;$0,00;$0,00;$0,00;$0,00;$3785,00;$395,00;$2685,76;77;
64;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10566,75;10535,00;14/3/2018 9:40:00;14/3/2018 16:00:00;IBS_Long;CierreContado;$-640,76;$-9603,64;$5,76;$0,00;$0,00;$0,00;$0,00;$1100,00;$330,00;$970,76;74;
65;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10172,75;10017,75;23/3/2018 9:40:00;23/3/2018 16:00:00;IBS_Long;CierreContado;$-3105,76;$-12709,40;$5,76;$0,00;$0,00;$0,00;$0,00;$3570,00;$405,00;$3510,76;74;
66;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;10114,00;10251,25;26/3/2018 9:40:00;26/3/2018 16:00:00;IBS_Long;CierreContado;$2739,24;$-9970,16;$5,76;$0,00;$0,00;$0,00;$0,00;$1730,00;$2805,00;$65,76;74;
67;NQ 09-26;Backtest;PROD_Bot_NQ_IBSReversion_5min_RTH;Long;1;9961,00;9962,00;28/3/2018 9:40:00;28/3/2018 16:00:00;IBS_Long;CierreContado;$14,24;$-9955,92;$5,76;$0,00;$0,00;$0,00;$0,00;$1295,00;$1775,00;$1760,76;74;
