Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;7915,25;7914,50;15/10/2015 15:59:00;16/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-20,76;$-20,76;$5,76;$0,00;$0,00;$0,00;$0,00;$45,00;$5,00;$25,76;4;
2;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;7942,50;7931,00;16/10/2015 15:59:00;19/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-235,76;$-256,52;$5,76;$0,00;$0,00;$0,00;$0,00;$230,00;$0,00;$235,76;4;
3;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;7957,75;7954,50;19/10/2015 15:59:00;20/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-70,76;$-327,28;$5,76;$0,00;$0,00;$0,00;$0,00;$95,00;$0,00;$70,76;4;
4;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;7927,25;7926,00;20/10/2015 15:59:00;21/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-30,76;$-358,04;$5,76;$0,00;$0,00;$0,00;$0,00;$40,00;$25,00;$55,76;4;
5;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;7908,50;7963,50;21/10/2015 15:59:00;22/10/2015 9:32:00;EntradaCierre;SalidaApertura;$1094,24;$736,20;$5,76;$0,00;$0,00;$0,00;$0,00;$20,00;$1130,00;$35,76;4;
6;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8067,50;8097,50;22/10/2015 15:59:00;23/10/2015 9:32:00;EntradaCierre;SalidaApertura;$594,24;$1330,44;$5,76;$0,00;$0,00;$0,00;$0,00;$10,00;$620,00;$25,76;4;
7;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8114,75;8113,75;23/10/2015 15:59:00;26/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-25,76;$1304,68;$5,76;$0,00;$0,00;$0,00;$0,00;$45,00;$5,00;$30,76;4;
8;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8122,50;8118,50;26/10/2015 15:59:00;27/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-85,76;$1218,92;$5,76;$0,00;$0,00;$0,00;$0,00;$110,00;$10,00;$95,76;4;
9;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8147,00;8128,50;27/10/2015 15:59:00;28/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-375,76;$843,16;$5,76;$0,00;$0,00;$0,00;$0,00;$400,00;$0,00;$375,76;4;
10;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8171,25;8155,00;28/10/2015 15:59:00;29/10/2015 9:32:00;EntradaCierre;SalidaApertura;$-330,76;$512,40;$5,76;$0,00;$0,00;$0,00;$0,00;$350,00;$5,00;$335,76;4;
11;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8169,00;8171,25;29/10/2015 15:59:00;30/10/2015 9:32:00;EntradaCierre;SalidaApertura;$39,24;$551,64;$5,76;$0,00;$0,00;$0,00;$0,00;$30,00;$55,00;$15,76;4;
12;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8149,75;8152,00;30/10/2015 15:59:00;2/11/2015 9:32:00;EntradaCierre;SalidaApertura;$39,24;$590,88;$5,76;$0,00;$0,00;$0,00;$0,00;$40,00;$165,00;$125,76;4;
13;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8196,00;8186,00;2/11/2015 15:59:00;3/11/2015 9:32:00;EntradaCierre;SalidaApertura;$-205,76;$385,12;$5,76;$0,00;$0,00;$0,00;$0,00;$210,00;$50,00;$255,76;49;
14;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8215,50;8227,00;3/11/2015 16:59:00;4/11/2015 9:32:00;EntradaCierre;SalidaApertura;$224,24;$609,36;$5,76;$0,00;$0,00;$0,00;$0,00;$10,00;$285,00;$60,76;4;
15;NQ 09-26;Backtest;PROD_Bot_NQ_OvernightDrift_1min_RTH;Long;1;8212,75;8220,25;4/11/2015 16:59:00;5/11/2015 9:32:00;EntradaCierre;SalidaApertura;$144,24;$753,60;$5,76;$0,00;$0,00;$0,00;$0,00;$25,00;$165,00;$20,76;4;
