Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8130,00;8072,50;10/11/2015 17:00:00;17/11/2015 17:00:00;RSI2Long;RSI2Exit;$-1155,76;$-1155,76;$5,76;$0,00;$0,00;$0,00;$0,00;$2860,00;$965,00;$2120,76;6;
2;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8124,25;8221,00;4/12/2015 17:00:00;7/12/2015 17:00:00;RSI2Long;RSI2Exit;$1929,24;$773,48;$5,76;$0,00;$0,00;$0,00;$0,00;$215,00;$2050,00;$120,76;2;
3;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8141,25;8139,50;10/12/2015 17:00:00;16/12/2015 17:00:00;RSI2Long;RSI2Exit;$-40,76;$732,72;$5,76;$0,00;$0,00;$0,00;$0,00;$3105,00;$840,00;$880,76;5;
4;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8060,75;8090,75;21/12/2015 17:00:00;22/12/2015 17:00:00;RSI2Long;RSI2Exit;$594,24;$1326,96;$5,76;$0,00;$0,00;$0,00;$0,00;$685,00;$600,00;$5,76;2;
5;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8024,00;7857,00;5/1/2016 17:00:00;13/1/2016 17:00:00;RSI2Long;RSI2Exit;$-3345,76;$-2018,80;$5,76;$0,00;$0,00;$0,00;$0,00;$6010,00;$100,00;$3445,76;7;
6;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8000,00;7862,25;22/4/2016 17:00:00;3/5/2016 17:00:00;RSI2Long;RSI2Exit;$-2760,76;$-4779,56;$5,76;$0,00;$0,00;$0,00;$0,00;$3615,00;$390,00;$3150,76;8;
7;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;7961,00;7938,25;13/6/2016 17:00:00;17/6/2016 17:00:00;RSI2Long;RSI2Exit;$-460,76;$-5240,32;$5,76;$0,00;$0,00;$0,00;$0,00;$1555,00;$480,00;$940,76;5;
8;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8317,75;8325,25;25/8/2016 17:00:00;30/8/2016 17:00:00;RSI2Long;RSI2Exit;$144,24;$-5096,08;$5,76;$0,00;$0,00;$0,00;$0,00;$595,00;$610,00;$465,76;4;
9;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8305,25;8307,75;1/9/2016 17:00:00;2/9/2016 17:00:00;RSI2Long;RSI2Exit;$44,24;$-5051,84;$5,76;$0,00;$0,00;$0,00;$0,00;$500,00;$415,00;$370,76;2;
10;NQ 09-26;Backtest;PROD_Bot_NQ_RSI2Reversion_1dia_ETH;Long;1;8196,50;8292,50;12/9/2016 17:00:00;13/9/2016 17:00:00;RSI2Long;RSI2Exit;$1914,24;$-3137,60;$5,76;$0,00;$0,00;$0,00;$0,00;$730,00;$2140,00;$225,76;2;
