Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;8006,50;8008,25;31/5/2015 21:02:00;1/6/2015 15:01:00;WeekLong;WeekExit;$29,24;$29,24;$5,76;$0,00;$0,00;$0,00;$0,00;$685,00;$360,00;$330,76;1003;
2;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;7959,50;7917,25;7/6/2015 21:01:00;8/6/2015 15:01:00;WeekLong;WeekExit;$-850,76;$-821,52;$5,76;$0,00;$0,00;$0,00;$0,00;$1025,00;$165,00;$1015,76;1010;
3;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;7923,50;7917,75;14/6/2015 21:01:00;15/6/2015 15:01:00;WeekLong;WeekExit;$-120,76;$-942,28;$5,76;$0,00;$0,00;$0,00;$0,00;$870,00;$145,00;$265,76;1020;
4;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;8011,00;8029,75;21/6/2015 21:01:00;22/6/2015 15:01:00;WeekLong;WeekExit;$369,24;$-573,04;$5,76;$0,00;$0,00;$0,00;$0,00;$65,00;$695,00;$325,76;963;
5;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;7915,00;7865,25;28/6/2015 21:01:00;29/6/2015 15:01:00;WeekLong;WeekExit;$-1000,76;$-1573,80;$5,76;$0,00;$0,00;$0,00;$0,00;$1065,00;$600,00;$1600,76;1071;
6;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;7867,50;7905,25;5/7/2015 21:01:00;6/7/2015 15:01:00;WeekLong;WeekExit;$749,24;$-824,56;$5,76;$0,00;$0,00;$0,00;$0,00;$190,00;$1265,00;$515,76;1058;
7;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;8147,25;8162,50;19/7/2015 21:01:00;20/7/2015 15:01:00;WeekLong;WeekExit;$299,24;$-525,32;$5,76;$0,00;$0,00;$0,00;$0,00;$105,00;$645,00;$345,76;961;
8;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;8058,50;8006,75;26/7/2015 21:03:00;27/7/2015 15:01:00;WeekLong;WeekExit;$-1040,76;$-1566,08;$5,76;$0,00;$0,00;$0,00;$0,00;$1230,00;$20,00;$1060,76;1043;
9;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;8072,25;8065,50;2/8/2015 21:01:00;3/8/2015 15:01:00;WeekLong;WeekExit;$-140,76;$-1706,84;$5,76;$0,00;$0,00;$0,00;$0,00;$765,00;$410,00;$550,76;1008;
10;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;8017,50;8062,00;9/8/2015 21:02:00;10/8/2015 15:01:00;WeekLong;WeekExit;$884,24;$-822,60;$5,76;$0,00;$0,00;$0,00;$0,00;$105,00;$1120,00;$235,76;1028;
11;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;8024,25;8056,25;16/8/2015 21:01:00;17/8/2015 15:01:00;WeekLong;WeekExit;$634,24;$-188,36;$5,76;$0,00;$0,00;$0,00;$0,00;$550,00;$680,00;$45,76;1006;
12;NQ 09-26;Backtest;PROD_Bot_NQ_WeekendEffect_1min_ETH;Long;1;7859,00;7874,75;11/10/2015 21:01:00;12/10/2015 15:01:00;WeekLong;WeekExit;$309,24;$120,88;$5,76;$0,00;$0,00;$0,00;$0,00;$85,00;$485,00;$175,76;1037;
