Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;7;7628,25;7606,00;14/1/2015 10:10:00;14/1/2015 11:10:00;L;SL;$-3155,32;$-3155,32;$40,32;$0,00;$0,00;$0,00;$0,00;$3115,00;$1575,00;$4730,32;13;
2;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;11;7689,00;7675,75;4/2/2015 10:00:00;4/2/2015 10:25:00;L;SL;$-2978,36;$-6133,68;$63,36;$0,00;$0,00;$0,00;$0,00;$2915,00;$1485,00;$4463,36;6;
3;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;8;7738,00;7719,50;6/2/2015 10:20:00;6/2/2015 13:25:00;L;SL;$-3006,08;$-9139,76;$46,08;$0,00;$0,00;$0,00;$0,00;$2960,00;$1720,00;$4726,08;38;
4;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;14;7774,75;7764,00;11/2/2015 10:05:00;11/2/2015 13:00:00;L;SL;$-3090,64;$-12230,40;$80,64;$0,00;$0,00;$0,00;$0,00;$3010,00;$1680,00;$4770,64;36;
5;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;13;7885,50;7889,50;19/2/2015 10:15:00;19/2/2015 16:00:00;L;CierreContado;$965,12;$-11265,28;$74,88;$0,00;$0,00;$0,00;$0,00;$910,00;$2795,00;$1829,88;70;
6;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;12;7888,25;7918,75;20/2/2015 10:20:00;20/2/2015 16:00:00;L;CierreContado;$7250,88;$-4014,40;$69,12;$0,00;$0,00;$0,00;$0,00;$720,00;$8940,00;$1689,12;69;
7;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;11;7923,75;7929,25;24/2/2015 10:30:00;24/2/2015 16:00:00;L;CierreContado;$1146,64;$-2867,76;$63,36;$0,00;$0,00;$0,00;$0,00;$1815,00;$2750,00;$1603,36;67;
8;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;16;7926,25;7916,50;25/2/2015 10:05:00;25/2/2015 14:45:00;L;SL;$-3212,16;$-6079,92;$92,16;$0,00;$0,00;$0,00;$0,00;$3120,00;$4880,00;$8092,16;57;
9;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;13;7955,50;7944,25;2/3/2015 10:20:00;2/3/2015 12:45:00;L;SL;$-2999,88;$-9079,80;$74,88;$0,00;$0,00;$0,00;$0,00;$2925,00;$910,00;$3909,88;30;
10;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;12;7940,00;7927,25;5/3/2015 9:55:00;5/3/2015 11:10:00;L;SL;$-3129,12;$-12208,92;$69,12;$0,00;$0,00;$0,00;$0,00;$3060,00;$1260,00;$4389,12;16;
11;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;13;7836,25;7838,75;16/3/2015 10:05:00;16/3/2015 16:00:00;L;CierreContado;$575,12;$-11633,80;$74,88;$0,00;$0,00;$0,00;$0,00;$2080,00;$4095,00;$3519,88;69;
12;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;11;7948,25;7933,75;20/3/2015 10:30:00;20/3/2015 15:10:00;L;SL;$-3253,36;$-14887,16;$63,36;$0,00;$0,00;$0,00;$0,00;$3190,00;$2255,00;$5508,36;57;
13;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;9;7792,25;7799,00;26/3/2015 10:10:00;26/3/2015 16:00:00;L;CierreContado;$1163,16;$-13724,00;$51,84;$0,00;$0,00;$0,00;$0,00;$2655,00;$4500,00;$3336,84;68;
14;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;13;7849,25;7857,00;30/3/2015 10:00:00;30/3/2015 16:00:00;L;CierreContado;$1940,12;$-11783,88;$74,88;$0,00;$0,00;$0,00;$0,00;$1820,00;$4875,00;$2934,88;70;
15;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;8;7792,75;7775,25;1/4/2015 10:20:00;1/4/2015 11:15:00;L;SL;$-2846,08;$-14629,96;$46,08;$0,00;$0,00;$0,00;$0,00;$2800,00;$0,00;$2846,08;12;
16;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;21;7894,75;7900,75;10/4/2015 10:35:00;10/4/2015 16:00:00;L;CierreContado;$2399,04;$-12230,92;$120,96;$0,00;$0,00;$0,00;$0,00;$1680,00;$3150,00;$750,96;63;
17;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;18;7897,50;7888,25;15/4/2015 10:05:00;15/4/2015 10:25:00;L;SL;$-3433,68;$-15664,60;$103,68;$0,00;$0,00;$0,00;$0,00;$3330,00;$180,00;$3613,68;5;
18;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;21;7882,00;7893,25;20/4/2015 10:00:00;20/4/2015 16:00:00;L;CierreContado;$4604,04;$-11060,56;$120,96;$0,00;$0,00;$0,00;$0,00;$420,00;$8925,00;$4320,96;70;
19;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;12;7920,00;7916,50;21/4/2015 10:10:00;21/4/2015 16:00:00;L;CierreContado;$-909,12;$-11969,68;$69,12;$0,00;$0,00;$0,00;$0,00;$2400,00;$1140,00;$2049,12;68;
20;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;15;7924,25;7923,75;22/4/2015 10:10:00;22/4/2015 16:00:00;L;CierreContado;$-236,40;$-12206,08;$86,40;$0,00;$0,00;$0,00;$0,00;$1800,00;$6450,00;$6686,40;68;
21;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;19;8009,25;8016,25;24/4/2015 10:05:00;24/4/2015 16:00:00;L;CierreContado;$2550,56;$-9655,52;$109,44;$0,00;$0,00;$0,00;$0,00;$1140,00;$5035,00;$2484,44;69;
22;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;11;7905,75;7907,75;12/5/2015 10:10:00;12/5/2015 16:00:00;L;CierreContado;$376,64;$-9278,88;$63,36;$0,00;$0,00;$0,00;$0,00;$2585,00;$4070,00;$3693,36;68;
23;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;23;8008,00;8015,25;21/5/2015 9:55:00;21/5/2015 16:00:00;L;CierreContado;$3202,52;$-6076,36;$132,48;$0,00;$0,00;$0,00;$0,00;$575,00;$6785,00;$3582,48;71;
24;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;26;8002,50;8026,25;27/5/2015 10:00:00;27/5/2015 16:00:00;L;CierreContado;$12200,24;$6123,88;$149,76;$0,00;$0,00;$0,00;$0,00;$650,00;$18070,00;$5869,76;70;
25;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;13;8023,50;8011,25;28/5/2015 10:20:00;28/5/2015 10:50:00;L;SL;$-3259,88;$2864,00;$74,88;$0,00;$0,00;$0,00;$0,00;$3185,00;$650,00;$3909,88;7;
26;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;5;8004,75;8010,75;1/6/2015 10:10:00;1/6/2015 16:00:00;L;CierreContado;$571,20;$3435,20;$28,80;$0,00;$0,00;$0,00;$0,00;$1225,00;$1725,00;$1153,80;68;
27;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;18;7962,00;7973,25;10/6/2015 10:05:00;10/6/2015 16:00:00;L;CierreContado;$3946,32;$7381,52;$103,68;$0,00;$0,00;$0,00;$0,00;$1530,00;$8100,00;$4153,68;69;
28;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;20;7958,75;7951,00;17/6/2015 10:05:00;17/6/2015 10:20:00;L;SL;$-3215,20;$4166,32;$115,20;$0,00;$0,00;$0,00;$0,00;$3100,00;$100,00;$3315,20;4;
29;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;3;7881,00;7837,25;9/7/2015 9:50:00;9/7/2015 13:35:00;L;SL;$-2642,28;$1524,04;$17,28;$0,00;$0,00;$0,00;$0,00;$2625,00;$615,00;$3257,28;46;
30;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;6;7900,00;7903,00;10/7/2015 10:10:00;10/7/2015 16:00:00;L;CierreContado;$325,44;$1849,48;$34,56;$0,00;$0,00;$0,00;$0,00;$390,00;$2400,00;$2074,56;68;
31;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;16;7969,25;7980,25;13/7/2015 10:10:00;13/7/2015 16:00:00;L;CierreContado;$3427,84;$5277,32;$92,16;$0,00;$0,00;$0,00;$0,00;$2720,00;$5120,00;$1692,16;69;
32;NQ 09-26;Backtest;PROD_Bot_NQ_ZigZag_Breakout_5min_RTH;Long;14;8007,50;8012,50;14/7/2015 10:10:00;14/7/2015 16:00:00;L;CierreContado;$1319,36;$6596,68;$80,64;$0,00;$0,00;$0,00;$0,00;$490,00;$4410,00;$3090,64;68;
